,0
0,"{'label': 'POSITIVE', 'score': 0.9980125427246094}"
1,"{'label': 'POSITIVE', 'score': 0.9987010955810547}"
2,"{'label': 'POSITIVE', 'score': 0.9979610443115234}"
3,"{'label': 'POSITIVE', 'score': 0.9968219995498657}"
4,"{'label': 'NEGATIVE', 'score': 0.9800864458084106}"
5,"{'label': 'NEGATIVE', 'score': 0.9974838495254517}"
6,"{'label': 'POSITIVE', 'score': 0.9955942034721375}"
7,"{'label': 'POSITIVE', 'score': 0.9932606816291809}"
8,"{'label': 'POSITIVE', 'score': 0.9878101348876953}"
9,"{'label': 'POSITIVE', 'score': 0.9981160163879395}"
10,"{'label': 'POSITIVE', 'score': 0.9972047209739685}"
11,"{'label': 'POSITIVE', 'score': 0.9937015771865845}"
12,"{'label': 'POSITIVE', 'score': 0.9978285431861877}"
13,"{'label': 'POSITIVE', 'score': 0.9855470657348633}"
14,"{'label': 'POSITIVE', 'score': 0.998306393623352}"
15,"{'label': 'POSITIVE', 'score': 0.9980529546737671}"
16,"{'label': 'NEGATIVE', 'score': 0.9952267408370972}"
17,"{'label': 'NEGATIVE', 'score': 0.9980844259262085}"
18,"{'label': 'POSITIVE', 'score': 0.9982175230979919}"
19,"{'label': 'POSITIVE', 'score': 0.9979762434959412}"
20,"{'label': 'POSITIVE', 'score': 0.9984719157218933}"
21,"{'label': 'POSITIVE', 'score': 0.9967783093452454}"
22,"{'label': 'POSITIVE', 'score': 0.9964182376861572}"
23,"{'label': 'NEGATIVE', 'score': 0.978004515171051}"
24,"{'label': 'POSITIVE', 'score': 0.9944789409637451}"
25,"{'label': 'POSITIVE', 'score': 0.9954752326011658}"
26,"{'label': 'NEGATIVE', 'score': 0.7844385504722595}"
27,"{'label': 'POSITIVE', 'score': 0.9981531500816345}"
28,"{'label': 'POSITIVE', 'score': 0.9916862845420837}"
29,"{'label': 'POSITIVE', 'score': 0.9961251616477966}"
30,"{'label': 'POSITIVE', 'score': 0.99820876121521}"
31,"{'label': 'POSITIVE', 'score': 0.9951426982879639}"
