,0
0,"{'label': 'POSITIVE', 'score': 0.9937443137168884}"
1,"{'label': 'POSITIVE', 'score': 0.9873818755149841}"
2,"{'label': 'POSITIVE', 'score': 0.9952449202537537}"
3,"{'label': 'POSITIVE', 'score': 0.9891422986984253}"
4,"{'label': 'POSITIVE', 'score': 0.9951463341712952}"
5,"{'label': 'POSITIVE', 'score': 0.9985180497169495}"
6,"{'label': 'NEGATIVE', 'score': 0.9910299777984619}"
7,"{'label': 'POSITIVE', 'score': 0.9922968745231628}"
8,"{'label': 'POSITIVE', 'score': 0.996178388595581}"
9,"{'label': 'POSITIVE', 'score': 0.9988846182823181}"
10,"{'label': 'POSITIVE', 'score': 0.9950685501098633}"
11,"{'label': 'NEGATIVE', 'score': 0.9940296411514282}"
12,"{'label': 'POSITIVE', 'score': 0.997231662273407}"
13,"{'label': 'POSITIVE', 'score': 0.998011589050293}"
14,"{'label': 'NEGATIVE', 'score': 0.9960371851921082}"
15,"{'label': 'NEGATIVE', 'score': 0.9926843047142029}"
16,"{'label': 'NEGATIVE', 'score': 0.978004515171051}"
17,"{'label': 'POSITIVE', 'score': 0.9887562394142151}"
18,"{'label': 'POSITIVE', 'score': 0.9904224872589111}"
19,"{'label': 'POSITIVE', 'score': 0.9957483410835266}"
20,"{'label': 'POSITIVE', 'score': 0.9982889294624329}"
21,"{'label': 'POSITIVE', 'score': 0.9987568855285645}"
22,"{'label': 'POSITIVE', 'score': 0.9966817498207092}"
23,"{'label': 'POSITIVE', 'score': 0.9954723715782166}"
24,"{'label': 'NEGATIVE', 'score': 0.9798938632011414}"
25,"{'label': 'POSITIVE', 'score': 0.9942936301231384}"
26,"{'label': 'POSITIVE', 'score': 0.9930288195610046}"
27,"{'label': 'POSITIVE', 'score': 0.9937466382980347}"
28,"{'label': 'POSITIVE', 'score': 0.9983060359954834}"
29,"{'label': 'POSITIVE', 'score': 0.9985301494598389}"
30,"{'label': 'POSITIVE', 'score': 0.9946681261062622}"
31,"{'label': 'NEGATIVE', 'score': 0.9972894191741943}"
32,"{'label': 'POSITIVE', 'score': 0.9981630444526672}"
33,"{'label': 'POSITIVE', 'score': 0.9904071688652039}"
34,"{'label': 'POSITIVE', 'score': 0.9985629916191101}"
35,"{'label': 'POSITIVE', 'score': 0.9727389812469482}"
36,"{'label': 'POSITIVE', 'score': 0.992523729801178}"
37,"{'label': 'POSITIVE', 'score': 0.9979878664016724}"
38,"{'label': 'POSITIVE', 'score': 0.6033985018730164}"
39,"{'label': 'POSITIVE', 'score': 0.9980898499488831}"
40,"{'label': 'POSITIVE', 'score': 0.9883437156677246}"
41,"{'label': 'NEGATIVE', 'score': 0.9981855750083923}"
42,"{'label': 'POSITIVE', 'score': 0.9587985277175903}"
43,"{'label': 'POSITIVE', 'score': 0.9981309771537781}"
44,"{'label': 'POSITIVE', 'score': 0.998295247554779}"
45,"{'label': 'POSITIVE', 'score': 0.9963196516036987}"
46,"{'label': 'POSITIVE', 'score': 0.9818230867385864}"
47,"{'label': 'POSITIVE', 'score': 0.9953828454017639}"
48,"{'label': 'POSITIVE', 'score': 0.9979187846183777}"
49,"{'label': 'POSITIVE', 'score': 0.9987071752548218}"
50,"{'label': 'POSITIVE', 'score': 0.9973710775375366}"
51,"{'label': 'POSITIVE', 'score': 0.9986433386802673}"
52,"{'label': 'NEGATIVE', 'score': 0.9978261590003967}"
53,"{'label': 'POSITIVE', 'score': 0.9956403970718384}"
54,"{'label': 'POSITIVE', 'score': 0.9986806511878967}"
55,"{'label': 'POSITIVE', 'score': 0.9980196952819824}"
56,"{'label': 'POSITIVE', 'score': 0.9973255395889282}"
57,"{'label': 'NEGATIVE', 'score': 0.9909321069717407}"
58,"{'label': 'POSITIVE', 'score': 0.9845118522644043}"
